iter	Logloss
0	0.6639064962
1	0.6368667722
2	0.6146717257
3	0.5967483161
4	0.5786679781
5	0.5628024881
6	0.5499881954
7	0.5372672568
8	0.5252843956
9	0.5156820684
10	0.5059454973
11	0.498667431
12	0.4910635141
13	0.4813707792
14	0.4774594701
15	0.4729396515
16	0.4669073252
17	0.4624628184
18	0.4583692829
19	0.4543715688
20	0.4501411067
21	0.4464171237
22	0.4426495107
23	0.4396375144
24	0.4369560829
25	0.4334530002
26	0.4312645354
27	0.4286227264
28	0.4265931685
29	0.4232228972
30	0.42083591
31	0.4189507309
32	0.4162784546
33	0.4141102526
34	0.4123947527
35	0.4105246
36	0.4091335566
37	0.4045581572
38	0.3995977501
39	0.3957236417
40	0.3943247318
41	0.3927816562
42	0.3913211984
43	0.3892721826
44	0.3881187834
45	0.3869484654
46	0.385358732
47	0.3840668922
48	0.3820763724
49	0.3806786769
50	0.379200438
51	0.3784065043
52	0.3762879017
53	0.3747727327
54	0.3738447085
55	0.3728320015
56	0.3712821925
57	0.3705012107
58	0.3691492413
59	0.3675071992
60	0.3666364445
61	0.3657702579
62	0.3651834245
63	0.3639811685
64	0.3631759883
65	0.3613797989
66	0.3605272709
67	0.3591294509
68	0.3584028355
69	0.3574369134
70	0.3548791475
71	0.3529277017
72	0.3516941328
73	0.3500611501
74	0.3480779016
75	0.3442151056
76	0.3425183355
77	0.341807616
78	0.3412816813
79	0.3396184086
80	0.3358958497
81	0.3352565065
82	0.3348903842
83	0.3335895484
84	0.3330380019
85	0.3316850036
86	0.3311381342
87	0.329676971
88	0.3292749941
89	0.3281787986
90	0.3275933067
91	0.3267772321
92	0.3262901929
93	0.3256927862
94	0.3252539894
95	0.3245485818
96	0.3240519333
97	0.3227219969
98	0.3218870022
99	0.3213613896
100	0.3199540837
101	0.3195121454
102	0.3189660688
103	0.3184828323
104	0.3175463402
105	0.3163771457
106	0.3156515999
107	0.3152744994
108	0.3144945465
109	0.313573887
110	0.3124791515
111	0.3121887494
112	0.3118350306
113	0.3109604828
114	0.310588045
115	0.3086921979
116	0.3075604964
117	0.3070626132
118	0.3063211438
119	0.3058333836
120	0.3047969884
121	0.3042941538
122	0.3039162676
123	0.3033643845
124	0.3022759622
125	0.3014109912
126	0.3008934919
127	0.3003914335
128	0.2992305702
129	0.2984444647
130	0.2969042432
131	0.2958215004
132	0.2954466648
133	0.2950080955
134	0.2936510634
135	0.2931608467
136	0.2913109125
137	0.2908409801
138	0.290463276
139	0.2896833435
140	0.2891250431
141	0.2887554366
142	0.2884787711
143	0.2879983324
144	0.2877010603
145	0.2874244139
146	0.2869838912
147	0.2866482278
148	0.2864304248
149	0.2859936964
150	0.2857577613
151	0.2850390963
152	0.2843706906
153	0.2840853872
154	0.2824236775
155	0.281843828
156	0.2811737815
157	0.2804622417
158	0.2800428885
159	0.2791756862
160	0.2785227609
161	0.2778389049
162	0.2770355644
163	0.2765054688
164	0.2759910607
165	0.2752856184
166	0.2743626689
167	0.2740188012
168	0.2738093797
169	0.2734238054
170	0.2728444577
171	0.2725348923
172	0.2720710742
173	0.2717157636
174	0.2713602854
175	0.2710471688
176	0.270793377
177	0.2705306923
178	0.2692684012
179	0.2690192302
180	0.2687463662
181	0.268516477
182	0.268175394
183	0.2677091015
184	0.2668569807
185	0.2660676881
186	0.2650889159
187	0.2645476684
188	0.2643579001
189	0.2641374046
190	0.2639244918
191	0.2629076672
192	0.2622881999
193	0.2620083628
194	0.2613862964
195	0.2610366474
196	0.2607455914
197	0.2604078176
198	0.2601873185
199	0.2594125888
200	0.2589673197
201	0.2574443895
202	0.2566697676
203	0.2562307397
204	0.2548648948
205	0.2545895695
206	0.2542487895
207	0.2539126985
208	0.252960756
209	0.2527648081
210	0.2524219094
211	0.2520934136
212	0.2514484561
213	0.2500051729
214	0.2494661999
215	0.2489492671
216	0.2485492688
217	0.2476566039
218	0.2473002902
219	0.2470667218
220	0.2463380619
221	0.2459544303
222	0.2457037616
223	0.2453727902
224	0.245157019
225	0.2448786881
226	0.2442754377
227	0.2439856417
228	0.2437432078
229	0.2434595902
230	0.2426430647
231	0.2420931171
232	0.2417938089
233	0.2415420676
234	0.2410546906
235	0.240798504
236	0.2406145692
237	0.2402181964
238	0.2392013628
239	0.2389898483
240	0.2386291288
241	0.2381624854
242	0.2379100746
243	0.2376610036
244	0.2374021024
245	0.2371809176
246	0.2369063696
247	0.2366625206
248	0.236198063
249	0.2359910507
250	0.2357134821
251	0.2353754807
252	0.2351748582
253	0.2348817182
254	0.234603816
255	0.2343065037
256	0.2342025068
257	0.2339287205
258	0.2329914937
259	0.2327748297
260	0.2318723765
261	0.231508025
262	0.2312421113
263	0.2311017233
264	0.2307806545
265	0.2304972836
266	0.2302930883
267	0.2300442155
268	0.2298196736
269	0.229330309
270	0.2281994848
271	0.2280016092
272	0.227748384
273	0.2276273718
274	0.2273330197
275	0.2270555439
276	0.2267336931
277	0.2265555689
278	0.2263896146
279	0.2261311799
280	0.2258813795
281	0.2255898456
282	0.2253740374
283	0.2251279702
284	0.2246985239
285	0.2244224632
286	0.224332089
287	0.2241104366
288	0.2239317015
289	0.2236456849
290	0.2233548648
291	0.2230585826
292	0.2228211803
293	0.222093981
294	0.2218145547
295	0.2214472095
296	0.2210705618
297	0.2209329836
298	0.2207083446
299	0.2204887624
300	0.2201524252
301	0.219854465
302	0.2197319174
303	0.2192221236
304	0.2190663516
305	0.2188753574
306	0.2186705202
307	0.218357379
308	0.2181173334
309	0.217625541
310	0.2173797913
311	0.217215497
312	0.2169873404
313	0.216731173
314	0.2165210874
315	0.2163591574
316	0.2161089312
317	0.2158811842
318	0.2153962218
319	0.2153202967
320	0.2151204401
321	0.2149080944
322	0.2148103208
323	0.2144988876
324	0.214385327
325	0.2142370143
326	0.2139498556
327	0.2137007727
328	0.2134572165
329	0.2132334297
330	0.2130695103
331	0.2128920599
332	0.2127028569
333	0.2125846084
334	0.2123005446
335	0.2120626866
336	0.2117924509
337	0.2116746019
338	0.2114244692
339	0.2112164741
340	0.2110247518
341	0.2108538695
342	0.2106497664
343	0.2104849458
344	0.2102063579
345	0.2100623791
346	0.2098221334
347	0.209694789
348	0.2095247649
349	0.2093389053
350	0.2092391519
351	0.2089567798
352	0.2087857455
353	0.208562009
354	0.2082784865
355	0.2080222491
356	0.2077918767
357	0.2075417936
358	0.2074056862
359	0.207235186
360	0.20695256
361	0.2066679088
362	0.2064882389
363	0.2063127006
364	0.2061220927
365	0.2060269217
366	0.205896238
367	0.2057051768
368	0.2055009731
369	0.2052701654
370	0.2051382631
371	0.2049865034
372	0.2047912927
373	0.2044453745
374	0.2042024999
375	0.2040421904
376	0.2036912334
377	0.2034844439
378	0.2032480297
379	0.2030499074
380	0.2029113698
381	0.2026929589
382	0.2025861084
383	0.2024169976
384	0.202038503
385	0.2018767436
386	0.2016982745
387	0.2015694132
388	0.2014111338
389	0.2012504248
390	0.2011067006
391	0.2009349374
392	0.2007292426
393	0.2005495895
394	0.2003183979
395	0.2001152398
396	0.2000423366
397	0.1998941263
398	0.1997165818
399	0.1994593251
400	0.199305588
401	0.1991684379
402	0.1990857985
403	0.1988326577
404	0.198657223
405	0.1983515064
406	0.1981684231
407	0.1979885874
408	0.1978040854
409	0.1977080622
410	0.1976028826
411	0.1969938527
412	0.1969221328
413	0.1964928422
414	0.196391061
415	0.1962679559
416	0.1961347721
417	0.1958555955
418	0.1957034053
419	0.1956211503
420	0.1954299987
421	0.1952115141
422	0.1950911062
423	0.1950005883
424	0.1948259189
425	0.194449243
426	0.1941737853
427	0.1939781285
428	0.193788029
429	0.193654623
430	0.1935370596
431	0.1933235899
432	0.1931910672
433	0.1930790349
434	0.1928592772
435	0.19267322
436	0.1925025892
437	0.1923573564
438	0.1922325296
439	0.1919939679
440	0.1918250265
441	0.1916970946
442	0.1915496126
443	0.191320293
444	0.191103999
445	0.1908207856
446	0.1905675053
447	0.190294991
448	0.1901396579
449	0.189980721
450	0.1898459574
451	0.1897287162
452	0.1895488745
453	0.1893075096
454	0.1891103903
455	0.1889788246
456	0.1887696893
457	0.1886839521
458	0.1885519019
459	0.1883291727
460	0.1880311604
461	0.1878289539
462	0.1876781164
463	0.1875064215
464	0.1873264241
465	0.1871788318
466	0.1869983128
467	0.1868875668
468	0.1867314649
469	0.1866492812
470	0.1865074679
471	0.1862970337
472	0.1862319329
473	0.1860615902
474	0.1859375844
475	0.1857491061
476	0.1856051189
477	0.185493598
478	0.185428172
479	0.1853117926
480	0.1851406139
481	0.1850388663
482	0.1849253716
483	0.1847884401
484	0.1845441462
485	0.1844033587
486	0.1842623616
487	0.1840982069
488	0.1839785583
489	0.1838741895
490	0.1837959595
491	0.183637407
492	0.1833559794
493	0.1831361211
494	0.1830166276
495	0.1828913813
496	0.1827593619
497	0.1825883144
498	0.1822741935
499	0.1822067608
